Wall time,Step,Value
1574441405.7529445,74040,945.7930908203125
1574441430.4764392,75005,720.1175537109375
1574441430.4766574,75009,1034.1708984375
1574441430.4773345,75020,827.4981689453125
1574441430.4776301,75025,1104.1646728515625
1574441430.4779391,75030,1193.17138671875
1574441430.478178,75034,969.4357299804688
1574441430.4782376,75035,1034.456787109375
1574441430.4789264,75046,954.5091552734375
1574441430.4789865,75047,1285.2259521484375
1574441455.118396,76005,1155.7275390625
1574441455.1184304,76007,1229.549560546875
1574441455.1187313,76008,1016.9722290039062
1574441455.1193075,76015,920.1475219726562
1574441455.1195376,76018,739.4257202148438
1574441455.1196332,76019,883.1529541015625
1574441455.1197114,76020,834.9032592773438
1574441455.1218452,76048,768.4428100585938
1574441479.7613087,77012,1190.83056640625
1574441479.7617521,77017,1160.3763427734375
1574441479.7618396,77018,624.6289672851562
1574441479.7620366,77020,863.026611328125
1574441479.762833,77028,895.4505004882812
1574441504.4894674,78033,937.8074951171875
1574441504.4903696,78048,975.098876953125
1574441528.8493319,79006,1143.519775390625
1574441528.8493497,79007,934.2437133789062
1574441528.8497949,79009,810.663818359375
1574441528.8499305,79011,989.9361572265625
1574441528.8501213,79014,799.8814086914062
1574441528.850184,79015,916.427001953125
1574441528.850314,79017,860.6375732421875
1574441528.8517928,79040,806.0354614257812
1574441528.8520951,79045,975.7650146484375
1574441528.8522766,79048,998.4993896484375
1574441553.940387,80003,888.25927734375
1574441553.9409554,80014,1076.6673583984375
1574441553.9415088,80023,941.0494384765625
1574441553.9417508,80026,839.5936279296875
1574441553.9418178,80027,788.8640747070312
1574441553.9424176,80036,863.6053466796875
1574441553.9428058,80042,1062.09619140625
1574441578.9153974,81005,1063.296142578125
1574441578.9160836,81011,953.744873046875
1574441578.9163296,81015,956.984375
1574441578.916883,81024,1085.8826904296875
1574441578.9170027,81026,894.4254150390625
1574441578.91754,81035,1070.532958984375
1574441578.9178042,81039,967.2224731445312
1574441578.9181767,81045,891.7213134765625
1574441578.9184794,81050,1042.1593017578125
1574441604.201536,82003,1125.1207275390625
1574441604.2022476,82012,761.1902465820312
1574441604.2027993,82019,1087.9283447265625
1574441604.2030523,82023,781.8071899414062
1574441604.2036145,82032,1027.186279296875
1574441604.2045648,82047,878.1990966796875
1574441628.8110003,83001,950.3701171875
1574441628.811105,83007,1049.3046875
1574441628.8116395,83011,1001.254638671875
1574441628.8117032,83012,816.8805541992188
1574441628.8128655,83031,1073.830810546875
1574441628.8129263,83032,893.9893798828125
1574441628.813046,83034,1073.521728515625
1574441628.8134062,83040,1160.52734375
1574441628.8135848,83043,1254.6383056640625
1574441653.7640855,84017,955.0830078125
1574441653.7645345,84023,955.0933837890625
1574441653.7648358,84027,1006.7742309570312
1574441653.7650623,84030,903.4868774414062
1574441653.7656703,84038,848.4841918945312
1574441653.7658207,84040,952.8455200195312
1574441678.661354,85004,1111.1807861328125
1574441678.6613715,85005,1038.027099609375
1574441678.6625054,85024,969.3621826171875
1574441678.6625664,85025,965.3814086914062
1574441678.6627471,85028,968.6451416015625
